"","Team","X.","Pos.","FIFA.Popular.Name","Birth.Date","Shirt.Name","Club","Height","Weight","League","Age"
"1","Argentina",1,"GK","GUZMAN Nahuel",1986-02-10,"GUZMÁN","Tigres UANL",192,90,"MEX",32.3397260273973
"2","Argentina",2,"DF","MERCADO Gabriel",1987-03-18,"MERCADO","Sevilla FC",181,81,"ESP",31.241095890411
"3","Argentina",3,"DF","TAGLIAFICO Nicolas",1992-08-31,"TAGLIAFICO","AFC Ajax",169,65,"NED",25.786301369863
"4","Argentina",4,"DF","ANSALDI Cristian",1986-09-20,"ANSALDI","Torino FC",181,73,"ITA",31.7315068493151
"5","Argentina",5,"MF","BIGLIA Lucas",1986-01-30,"BIGLIA","AC Milan",175,73,"ITA",32.3698630136986
"6","Argentina",6,"DF","FAZIO Federico",1987-03-17,"FAZIO","AS Roma",199,85,"ITA",31.2438356164384
"7","Argentina",7,"MF","BANEGA Ever",1988-06-29,"BANEGA","Sevilla FC",175,73,"ESP",29.958904109589
"8","Argentina",8,"DF","ACUNA Marcos",1991-10-28,"ACUÑA","Sporting CP",172,77,"POR",26.627397260274
"9","Argentina",9,"FW","HIGUAIN Gonzalo",1987-12-10,"HIGUAÍN","Juventus FC",184,75,"ITA",30.5095890410959
"10","Argentina",10,"FW","MESSI Lionel",1987-06-24,"MESSI","FC Barcelona",170,72,"ESP",30.972602739726
"11","Argentina",11,"MF","DI MARIA Angel",1988-02-14,"DI MARÍA","Paris Saint-Germain FC",178,75,"FRA",30.3287671232877
"12","Argentina",12,"GK","ARMANI Franco",1986-10-16,"ARMANI","CA River Plate",189,85,"ARG",31.6602739726027
"13","Argentina",13,"MF","MEZA Maximiliano",1992-12-15,"MEZA","CA Independiente",180,76,"ARG",25.4958904109589
"14","Argentina",14,"DF","MASCHERANO Javier",1984-06-08,"MASCHERANO","Hebei China Fortune FC",174,73,"CHN",34.0164383561644
"15","Argentina",15,"MF","LANZINI Manuel",1993-02-15,"LANZINI","West Ham United FC",167,66,"ENG",25.3260273972603
"16","Argentina",16,"DF","ROJO Marcos",1990-03-20,"ROJO","Manchester United FC",189,82,"ENG",28.2356164383562
"17","Argentina",17,"DF","OTAMENDI Nicolas",1988-02-12,"OTAMENDI","Manchester City FC",181,81,"ENG",30.3342465753425
"18","Argentina",18,"DF","SALVIO Eduardo",1990-07-13,"SALVIO","SL Benfica",167,69,"POR",27.9205479452055
"19","Argentina",19,"FW","AGUERO Sergio",1988-06-02,"AGÜERO","Manchester City FC",172,74,"ENG",30.0328767123288
"20","Argentina",20,"MF","LO CELSO Giovani",1996-04-09,"LO CELSO","Paris Saint-Germain FC",177,75,"FRA",22.1808219178082
"21","Argentina",21,"FW","DYBALA Paulo",1993-11-15,"DYBALA","Juventus FC",177,73,"ITA",24.5780821917808
"22","Argentina",22,"MF","PAVON Cristian",1996-01-21,"PAVÓN","CA Boca Juniors",169,65,"ARG",22.3945205479452
"23","Argentina",23,"GK","CABALLERO Wilfredo",1981-09-28,"CABALLERO","Chelsea FC",186,80,"ENG",36.7095890410959
"24","Australia",1,"GK","RYAN Mathew",1992-04-08,"RYAN","Brighton & Hove Albion FC",184,82,"ENG",26.1835616438356
"25","Australia",2,"DF","DEGENEK Milos",1994-04-28,"DEGENEK","Yokohama F-Marinos",187,85,"JPN",24.1287671232877
"26","Australia",3,"DF","MEREDITH James",1988-04-05,"MEREDITH","Millwall FC",179,71,"ENG",30.1917808219178
"27","Australia",4,"FW","CAHILL Tim",1979-12-06,"CAHILL","Millwall FC",180,76,"ENG",38.5205479452055
"28","Australia",5,"DF","MILLIGAN Mark",1985-08-04,"MILLIGAN","Al Ahli SC",178,78,"KSA",32.8602739726027
"29","Australia",6,"DF","JURMAN Matthew",1989-12-08,"JURMAN","Suwon Samsung Bluewings FC",190,83,"KOR",28.5150684931507
"30","Australia",7,"FW","LECKIE Mathew",1991-02-04,"LECKIE","Hertha BSC",181,84,"GER",27.3561643835616
"31","Australia",8,"MF","LUONGO Massimo",1992-09-25,"LUONGO","Queens Park Rangers FC",176,76,"ENG",25.7178082191781
"32","Australia",9,"FW","JURIC Tomi",1991-07-22,"JURIC","FC Luzern",190,80,"SUI",26.8958904109589
"33","Australia",10,"FW","KRUSE Robbie",1988-10-05,"KRUSE","VfL Bochum",180,66,"GER",29.6904109589041
"34","Australia",11,"FW","NABBOUT Andrew",1992-12-17,"NABBOUT","Urawa Reds",178,85,"JPN",25.4904109589041
"35","Australia",12,"GK","JONES Brad",1982-03-19,"JONES","Feyenoord Rotterdam",193,87,"NED",36.2383561643836
"36","Australia",13,"MF","MOOY Aaron",1990-09-15,"MOOY","Huddersfield Town FC",173,72,"ENG",27.7452054794521
"37","Australia",14,"FW","MacLAREN Jamie",1993-07-29,"MACLAREN","Hibernian FC",178,72,"SCO",24.8767123287671
"38","Australia",15,"MF","JEDINAK Mile",1984-08-03,"JEDINAK","Aston Villa FC",188,78,"ENG",33.8630136986301
"39","Australia",16,"DF","BEHICH Aziz",1990-12-16,"BEHICH","Bursaspor",170,63,"TUR",27.4931506849315
"40","Australia",17,"FW","ARZANI Daniel",1999-01-04,"ARZANI","Melbourne City FC",171,73,"AUS",19.441095890411
"41","Australia",18,"GK","VUKOVIC Danny",1985-03-27,"VUKOVIC","KRC Genk",187,94,"BEL",33.2164383561644
"42","Australia",19,"DF","RISDON Joshua",1992-07-27,"RISDON","WS Wanderers FC",169,70,"AUS",25.8821917808219
"43","Australia",20,"DF","SAINSBURY Trent",1992-01-05,"SAINSBURY","Grasshopper Club",183,76,"SUI",26.4383561643836
"44","Australia",21,"FW","PETRATOS Dimitrios",1992-11-10,"PETRATOS","Newcastle United Jets FC",176,72,"AUS",25.5917808219178
"45","Australia",22,"MF","IRVINE Jackson",1993-03-07,"IRVINE","Hull City FC",180,77,"ENG",25.2712328767123
"46","Australia",23,"MF","ROGIC Tom",1992-12-16,"ROGIC","Celtic FC",189,88,"SCO",25.4931506849315
"47","Belgium",1,"GK","COURTOIS Thibaut",1992-05-11,"COURTOIS","Chelsea FC",199,91,"ENG",26.0931506849315
"48","Belgium",2,"DF","ALDERWEIRELD Toby",1989-03-02,"ALDERWEIRELD","Tottenham Hotspur FC",186,81,"ENG",29.2849315068493
"49","Belgium",3,"DF","VERMAELEN Thomas",1985-11-14,"VERMAELEN","FC Barcelona",183,80,"ESP",32.5808219178082
"50","Belgium",4,"DF","KOMPANY Vincent",1986-04-10,"KOMPANY","Manchester City FC",190,85,"ENG",32.1780821917808
"51","Belgium",5,"DF","VERTONGHEN Jan",1987-04-24,"VERTONGHEN","Tottenham Hotspur FC",189,86,"ENG",31.1397260273973
"52","Belgium",6,"MF","WITSEL Axel",1989-01-12,"WITSEL","Tianjin Quanjian FC",186,73,"CHN",29.4191780821918
"53","Belgium",7,"MF","DE BRUYNE Kevin",1991-06-28,"DE BRUYNE","Manchester City FC",181,70,"ENG",26.9616438356164
"54","Belgium",8,"MF","FELLAINI Marouane",1987-11-22,"FELLAINI","Manchester United FC",194,85,"ENG",30.558904109589
"55","Belgium",9,"FW","LUKAKU Romelu",1993-05-13,"R. LUKAKU","Manchester United FC",190,94,"ENG",25.0876712328767
"56","Belgium",10,"FW","HAZARD Eden",1991-01-07,"E. HAZARD","Chelsea FC",173,74,"ENG",27.4328767123288
"57","Belgium",11,"MF","CARRASCO Yannick",1993-09-04,"CARRASCO","Dalian Yifang FC",180,67,"CHN",24.7753424657534
"58","Belgium",12,"GK","MIGNOLET Simon",1988-03-06,"MIGNOLET","Liverpool FC",193,87,"ENG",30.2739726027397
"59","Belgium",13,"GK","CASTEELS Koen",1992-06-25,"CASTEELS","VfL Wolfsburg",197,86,"GER",25.9698630136986
"60","Belgium",14,"FW","MERTENS Dries",1987-05-06,"MERTENS","SSC Napoli",169,61,"ITA",31.1068493150685
"61","Belgium",15,"DF","MEUNIER Thomas",1991-09-12,"MEUNIER","Paris Saint-Germain FC",190,88,"FRA",26.7534246575342
"62","Belgium",16,"MF","HAZARD Thorgan",1993-03-29,"T. HAZARD","VfL Borussia Mönchengladbach",174,70,"GER",25.2109589041096
"63","Belgium",17,"MF","TIELEMANS Youri",1997-05-07,"TIELEMANS","AS Monaco",176,72,"FRA",21.1041095890411
"64","Belgium",18,"FW","JANUZAJ Adnan",1995-02-05,"JANUZAJ","Real Sociedad",180,75,"ESP",23.3534246575342
"65","Belgium",19,"MF","DEMBELE Moussa",1987-07-16,"DEMBELE","Tottenham Hotspur FC",185,82,"ENG",30.9123287671233
"66","Belgium",20,"DF","BOYATA Dedryck",1990-11-28,"BOYATA","Celtic FC",188,84,"SCO",27.5424657534247
"67","Belgium",21,"FW","BATSHUAYI Michy",1993-10-02,"BATSHUAYI","Borussia Dortmund",185,78,"GER",24.6986301369863
"68","Belgium",22,"MF","CHADLI Nacer",1989-08-02,"CHADLI","West Bromwich Albion FC",187,85,"ENG",28.8657534246575
"69","Belgium",23,"DF","DENDONCKER Leander",1995-04-15,"DENDONCKER","RSC Anderlecht",188,76,"BEL",23.1643835616438
"70","Brazil",1,"GK","ALISSON",1992-10-02,"A. BECKER","AS Roma",193,91,"ITA",25.6986301369863
"71","Brazil",2,"DF","THIAGO SILVA",1984-09-22,"T. SILVA","Paris Saint-Germain FC",183,79,"FRA",33.7260273972603
"72","Brazil",3,"DF","MIRANDA",1984-09-07,"MIRANDA","FC Internazionale",186,78,"ITA",33.7671232876712
"73","Brazil",4,"DF","PEDRO GEROMEL",1985-09-21,"GEROMEL","Grêmio FBPA",190,84,"BRA",32.7287671232877
"74","Brazil",5,"MF","CASEMIRO",1992-02-23,"CASEMIRO","Real Madrid CF",185,84,"ESP",26.3041095890411
"75","Brazil",6,"DF","FILIPE LUIS",1985-08-09,"FILIPE LUIS","Atletico Madrid",182,73,"ESP",32.8465753424658
"76","Brazil",7,"FW","DOUGLAS COSTA",1990-09-14,"D. COSTA","Juventus FC",182,70,"ITA",27.7479452054795
"77","Brazil",8,"MF","RENATO AUGUSTO",1988-02-08,"R. AUGUSTO","Beijing Guoan",186,86,"CHN",30.3452054794521
"78","Brazil",9,"FW","GABRIEL JESUS",1997-04-03,"G. JESUS","Manchester City FC",175,73,"ENG",21.1972602739726
"79","Brazil",10,"FW","NEYMAR",1992-02-05,"NEYMAR JR","Paris Saint-Germain FC",175,68,"FRA",26.3534246575342
"80","Brazil",11,"MF","PHILIPPE COUTINHO",1992-06-12,"P. COUTINHO","FC Barcelona",172,68,"ESP",26.0054794520548
"81","Brazil",12,"DF","MARCELO",1988-05-12,"MARCELO","Real Madrid CF",174,80,"ESP",30.0904109589041
"82","Brazil",13,"DF","MARQUINHOS",1994-05-14,"MARQUINHOS","Paris Saint-Germain FC",183,75,"FRA",24.0849315068493
"83","Brazil",14,"DF","DANILO",1991-07-15,"DANILO","Manchester City FC",184,78,"ENG",26.9150684931507
"84","Brazil",15,"MF","PAULINHO",1988-07-25,"PAULINHO","FC Barcelona",181,81,"ESP",29.8876712328767
"85","Brazil",16,"GK","CASSIO",1987-06-06,"CASSIO","SC Corinthians",195,92,"BRA",31.0219178082192
"86","Brazil",17,"MF","FERNANDINHO",1985-05-04,"FERNANDINHO","Manchester City FC",179,67,"ENG",33.1123287671233
"87","Brazil",18,"MF","FRED",1993-03-05,"FRED","FC Shakhtar Donetsk",169,64,"UKR",25.2767123287671
"88","Brazil",19,"MF","WILLIAN",1988-08-09,"WILLIAN","Chelsea FC",175,77,"ENG",29.8465753424658
"89","Brazil",20,"FW","ROBERTO FIRMINO",1991-10-02,"FIRMINO","Liverpool FC",181,76,"ENG",26.6986301369863
"90","Brazil",21,"FW","TAISON",1988-01-13,"TAISON","FC Shakhtar Donetsk",172,64,"UKR",30.4164383561644
"91","Brazil",22,"DF","FAGNER",1989-06-11,"FAGNER","SC Corinthians",168,67,"BRA",29.0082191780822
"92","Brazil",23,"GK","EDERSON",1993-08-17,"EDERSON","Manchester City FC",188,86,"ENG",24.8246575342466
"93","Colombia",1,"GK","OSPINA David",1988-08-31,"OSPINA","Arsenal FC",183,80,"ENG",29.786301369863
"94","Colombia",2,"DF","ZAPATA Cristian",1986-09-30,"C. ZAPATA","AC Milan",187,82,"ITA",31.7041095890411
"95","Colombia",3,"DF","MURILLO Oscar",1988-04-18,"O. MURILLO","CF Pachuca",184,80,"MEX",30.1561643835616
"96","Colombia",4,"DF","ARIAS Santiago",1992-01-13,"ARIAS","PSV Eindhoven",177,71,"NED",26.4164383561644
"97","Colombia",5,"MF","BARRIOS  Wilmar",1993-10-16,"BARRIOS","CA Boca Juniors",178,74,"ARG",24.6602739726027
"98","Colombia",6,"MF","SANCHEZ Carlos",1986-02-06,"C. SANCHEZ","RCD Espanyol",182,82,"ESP",32.3506849315068
"99","Colombia",7,"FW","BACCA Carlos",1986-09-08,"BACCA","Villarreal CF",181,77,"ESP",31.7643835616438
"100","Colombia",8,"MF","AGUILAR Abel",1985-01-06,"AGUILAR T.","AC Deportivo Cali",185,82,"COL",33.4356164383562
"101","Colombia",9,"FW","FALCAO Radamel",1986-02-10,"FALCAO","AS Monaco",177,72,"FRA",32.3397260273973
"102","Colombia",10,"MF","RODRIGUEZ James",1991-07-12,"JAMES","FC Bayern München",180,75,"GER",26.9232876712329
"103","Colombia",11,"MF","CUADRADO Juan",1988-05-26,"CUADRADO","Juventus FC",179,72,"ITA",30.0520547945205
"104","Colombia",12,"GK","VARGAS Camilo",1989-03-09,"C. VARGAS","AC Deportivo Cali",185,80,"COL",29.2657534246575
"105","Colombia",13,"DF","MINA Yerry",1994-09-23,"Y. MINA","FC Barcelona",194,95,"ESP",23.7232876712329
"106","Colombia",14,"FW","MURIEL Luis",1991-04-16,"L. MURIEL","Sevilla FC",178,79,"ESP",27.1616438356164
"107","Colombia",15,"MF","URIBE Mateus",1991-03-21,"M. URIBE","Club América",182,71,"MEX",27.2328767123288
"108","Colombia",16,"MF","LERMA Jefferson",1994-10-25,"J. LERMA","Levante UD",179,70,"ESP",23.6356164383562
"109","Colombia",17,"DF","MOJICA Johan",1992-08-21,"J. MOJICA","Girona FC",185,66,"ESP",25.813698630137
"110","Colombia",18,"DF","FABRA Frank",1991-02-22,"FABRA","CA Boca Juniors",172,72,"ARG",27.3068493150685
"111","Colombia",19,"FW","BORJA Miguel",1993-01-26,"M. BORJA","SE Palmeiras",183,74,"BRA",25.3808219178082
"112","Colombia",20,"MF","QUINTERO Juan",1993-01-18,"J. QUINTERO","CA River Plate",169,64,"ARG",25.4027397260274
"113","Colombia",21,"FW","IZQUIERDO Jose",1992-07-07,"IZQUIERDO","Brighton & Hove Albion FC",171,73,"ENG",25.9369863013699
"114","Colombia",22,"GK","CUADRADO Jose",1985-06-01,"J.F. CUADRADO","CD Once Caldas",180,80,"COL",33.0356164383562
"115","Colombia",23,"DF","SANCHEZ Davinson",1996-06-12,"D. SANCHEZ","Tottenham Hotspur FC",187,81,"ENG",22.0054794520548
"116","Costa Rica",1,"GK","NAVAS Keylor",1986-12-15,"K. NAVAS","Real Madrid CF",185,80,"ESP",31.4958904109589
"117","Costa Rica",2,"DF","ACOSTA Johnny",1983-07-21,"J. ACOSTA","Rionegro Águilas",176,75,"COL",34.8986301369863
"118","Costa Rica",3,"DF","GONZALEZ Giancarlo",1988-02-08,"G. GONZALEZ","Bologna FC",186,78,"ITA",30.3452054794521
"119","Costa Rica",4,"DF","SMITH Ian",1998-03-06,"I. SMITH","IFK Norrkoping FK",177,68,"SWE",20.2739726027397
"120","Costa Rica",5,"MF","BORGES Celso",1988-05-27,"C. BORGES","Deportivo La Coruña",187,79,"ESP",30.0493150684932
"121","Costa Rica",6,"DF","DUARTE Oscar",1989-06-03,"O. DUARTE","RCD Espanyol",186,81,"ESP",29.0301369863014
"122","Costa Rica",7,"MF","BOLANOS Christian",1984-05-17,"C. BOLAÑOS","Deportivo Saprissa",178,67,"CRC",34.0767123287671
"123","Costa Rica",8,"DF","OVIEDO Bryan",1990-02-18,"B. OVIEDO","Sunderland AFC",172,70,"ENG",28.3178082191781
"124","Costa Rica",9,"MF","COLINDRES Daniel",1985-01-10,"D. COLINDRES","Deportivo Saprissa",180,75,"CRC",33.4246575342466
"125","Costa Rica",10,"MF","RUIZ Bryan",1985-08-18,"BRYAN","Sporting CP",187,73,"POR",32.8219178082192
"126","Costa Rica",11,"FW","VENEGAS Johan",1988-11-27,"J. VENEGAS","Deportivo Saprissa",183,76,"CRC",29.5452054794521
"127","Costa Rica",12,"FW","CAMPBELL Joel",1992-06-26,"J. CAMPBELL","Real Betis",178,71,"ESP",25.9671232876712
"128","Costa Rica",13,"MF","WALLACE Rodney",1988-06-17,"R. WALLACE","New York City FC",180,70,"USA",29.9917808219178
"129","Costa Rica",14,"MF","AZOFEIFA Randall",1984-12-30,"R. AZOFEIFA","CS Herediano",182,83,"CRC",33.4547945205479
"130","Costa Rica",15,"DF","CALVO Francisco",1992-07-08,"F. CALVO","Minnesota United FC",180,78,"USA",25.9342465753425
"131","Costa Rica",16,"DF","GAMBOA Cristian",1989-10-24,"C. GAMBOA","Celtic FC",175,67,"SCO",28.6383561643836
"132","Costa Rica",17,"MF","TEJEDA Yeltsin",1992-03-17,"Y. TEJEDA","FC Lausanne-Sport",179,67,"SUI",26.2438356164384
"133","Costa Rica",18,"GK","PEMBERTON Patrick",1982-04-24,"P. PEMBERTON","LD Alajuelense",178,72,"CRC",36.1397260273973
"134","Costa Rica",19,"DF","WASTON Kendall",1988-01-01,"K. WASTON","Vancouver Whitecaps FC",196,87,"CAN",30.4493150684931
"135","Costa Rica",20,"MF","GUZMAN David",1990-02-18,"D. GUZMAN","Portland Timbers",176,78,"USA",28.3178082191781
"136","Costa Rica",21,"FW","URENA Marcos",1990-03-05,"M. UREÑA","Los Angeles FC",181,70,"USA",28.2767123287671
"137","Costa Rica",22,"DF","MATARRITA Ronald",1994-07-09,"R. MATARRITA","New York City FC",175,70,"USA",23.9315068493151
"138","Costa Rica",23,"GK","MOREIRA Leonel",1990-04-02,"L. MOREIRA","CS Herediano",179,70,"CRC",28.2
"139","Croatia",1,"GK","LIVAKOVIC Dominik",1995-01-09,"LIVAKOVIĆ","GNK Dinamo Zagreb",188,82,"CRO",23.427397260274
"140","Croatia",2,"DF","VRSALJKO Sime",1992-01-10,"VRSALJKO","Atletico Madrid",181,76,"ESP",26.4246575342466
"141","Croatia",3,"DF","STRINIC Ivan",1987-07-17,"STRINIĆ","UC Sampdoria",186,78,"ITA",30.9095890410959
"142","Croatia",4,"FW","PERISIC Ivan",1989-02-02,"PERIŠIĆ","FC Internazionale",186,81,"ITA",29.3616438356164
"143","Croatia",5,"DF","CORLUKA Vedran",1986-02-05,"ĆORLUKA","FC Lokomotiv Moscow",192,84,"RUS",32.3534246575342
"144","Croatia",6,"DF","LOVREN Dejan",1989-07-05,"LOVREN","Liverpool FC",188,84,"ENG",28.9424657534247
"145","Croatia",7,"MF","RAKITIC Ivan",1988-03-10,"RAKITIĆ","FC Barcelona",184,78,"ESP",30.2630136986301
"146","Croatia",8,"MF","KOVACIC Mateo",1994-05-06,"KOVAČIĆ","Real Madrid CF",178,78,"ESP",24.1068493150685
"147","Croatia",9,"FW","KRAMARIC Andrej",1991-06-19,"KRAMARIĆ","TSG 1899 Hoffenheim",177,73,"GER",26.986301369863
"148","Croatia",10,"MF","MODRIC Luka",1985-09-09,"MODRIĆ","Real Madrid CF",172,66,"ESP",32.7616438356164
"149","Croatia",11,"MF","BROZOVIC Marcelo",1992-11-16,"BROZOVIĆ","FC Internazionale",181,68,"ITA",25.5753424657534
"150","Croatia",12,"GK","KALINIC Lovre",1990-04-03,"L. KALINIĆ","KAA Gent",201,96,"BEL",28.1972602739726
"151","Croatia",13,"DF","JEDVAJ Tin",1995-11-28,"JEDVAJ","Bayer 04 Leverkusen",184,81,"GER",22.5424657534247
"152","Croatia",14,"MF","BRADARIC Filip",1992-01-11,"BRADARIĆ","HNK Rijeka",186,78,"CRO",26.4219178082192
"153","Croatia",15,"DF","CALETA-CAR Duje",1996-09-17,"ĆALETA-CAR","FC Red Bull Salzburg",192,89,"AUT",21.7397260273973
"154","Croatia",16,"FW","KALINIC Nikola",1988-01-05,"N. KALINIĆ","AC Milan",187,81,"ITA",30.4383561643836
"155","Croatia",17,"FW","MANDZUKIC Mario",1986-05-21,"MANDŽUKIĆ","Juventus FC",190,85,"ITA",32.0657534246575
"156","Croatia",18,"FW","REBIC Ante",1993-09-21,"REBIĆ","Eintracht Frankfurt",185,78,"GER",24.7287671232877
"157","Croatia",19,"MF","BADELJ Milan",1989-02-25,"BADELJ","ACF Fiorentina",186,76,"ITA",29.2986301369863
"158","Croatia",20,"FW","PJACA Marko",1995-05-06,"PJACA","FC Schalke 04",186,83,"GER",23.1068493150685
"159","Croatia",21,"DF","VIDA Domagoj",1989-04-29,"VIDA","Besiktas JK",184,76,"TUR",29.1260273972603
"160","Croatia",22,"DF","PIVARIC Josip",1989-01-30,"PIVARIĆ","FC Dynamo Kyiv",176,69,"UKR",29.3698630136986
"161","Croatia",23,"GK","SUBASIC Danijel",1984-10-27,"SUBAŠIĆ","AS Monaco",191,84,"FRA",33.6301369863014
"162","Denmark",1,"GK","SCHMEICHEL Kasper",1986-11-05,"SCHMEICHEL","Leicester City FC",190,92,"ENG",31.6054794520548
"163","Denmark",2,"MF","KROHN-DEHLI Michael",1983-06-06,"KROHN-DEHLI","Deportivo La Coruña",171,69,"ESP",35.0219178082192
"164","Denmark",3,"DF","VESTERGAARD Jannik",1992-08-03,"VESTERGAARD","VfL Borussia Mönchengladbach",200,98,"GER",25.8630136986301
"165","Denmark",4,"DF","KJAER Simon",1989-03-26,"KJÆR","Sevilla FC",191,84,"ESP",29.2191780821918
"166","Denmark",5,"DF","KNUDSEN Jonas",1992-09-16,"KNUDSEN","Ipswich Town FC",187,82,"ENG",25.7424657534247
"167","Denmark",6,"DF","CHRISTENSEN Andreas",1996-04-10,"CHRISTENSEN","Chelsea FC",192,85,"ENG",22.1780821917808
"168","Denmark",7,"MF","KVIST William",1985-02-24,"KVIST","FC Kobenhavn",185,80,"DEN",33.3013698630137
"169","Denmark",8,"MF","DELANEY Thomas",1991-09-03,"DELANEY","SV Werder Bremen",180,78,"GER",26.7780821917808
"170","Denmark",9,"FW","JORGENSEN Nicolai",1991-01-15,"N. JØRGENSEN","Feyenoord Rotterdam",194,86,"NED",27.4109589041096
"171","Denmark",10,"MF","ERIKSEN Christian",1992-02-14,"ERIKSEN","Tottenham Hotspur FC",181,76,"ENG",26.3287671232877
"172","Denmark",11,"FW","BRAITHWAITE Martin",1991-06-05,"BRAITHWAITE","FC Girondins Bordeaux",180,73,"FRA",27.0246575342466
"173","Denmark",12,"FW","DOLBERG Kasper",1997-10-06,"DOLBERG","AFC Ajax",187,85,"NED",20.6876712328767
"174","Denmark",13,"DF","JORGENSEN Mathias",1990-04-23,"M. JØRGENSEN","Huddersfield Town FC",191,85,"ENG",28.1424657534247
"175","Denmark",14,"DF","DALSGAARD Henrik",1989-07-27,"DALSGAARD","Brentford FC",190,81,"ENG",28.8821917808219
"176","Denmark",15,"FW","FISCHER Viktor",1994-06-09,"FISCHER","FC Kobenhavn",181,80,"DEN",24.013698630137
"177","Denmark",16,"GK","LOSSL Jonas",1989-02-01,"LÖSSL","Huddersfield Town FC",195,90,"ENG",29.3643835616438
"178","Denmark",17,"DF","STRYGER LARSEN Jens",1991-02-21,"STRYGER","Udinese Calcio",182,82,"ITA",27.3095890410959
"179","Denmark",18,"MF","LERAGER Lukas",1993-07-12,"LERAGER","FC Girondins Bordeaux",186,85,"FRA",24.9232876712329
"180","Denmark",19,"MF","SCHONE Lasse",1986-05-27,"SCHÖNE","AFC Ajax",178,80,"NED",32.0493150684932
"181","Denmark",20,"FW","POULSEN Yussuf Yurary",1994-06-15,"YURARY","RB Leipzig",193,84,"GER",23.9972602739726
