"","Team","X.","Pos.","FIFA.Popular.Name","Birth.Date","Shirt.Name","Club","Height","Weight","League","Age"
"182","Denmark",21,"FW","CORNELIUS Andreas",1993-03-16,"CORNELIUS","Atalanta Bergamo",195,91,"ITA",25.2465753424658
"183","Denmark",22,"GK","RONNOW Frederik",1992-08-04,"RØNNOW","Brondby IF",190,85,"DEN",25.8602739726027
"184","Denmark",23,"FW","SISTO Pione",1995-02-04,"SISTO","Celta Vigo",173,69,"ESP",23.3561643835616
"185","Egypt",1,"GK","ESSAM EL HADARY",1973-01-15,"ELHADARY","Al Taawoun FC",190,90,"KSA",45.4109589041096
"186","Egypt",2,"DF","ALI GABR",1989-01-01,"ALI GABR","West Bromwich Albion FC",191,88,"ENG",29.4493150684931
"187","Egypt",3,"DF","AHMED ELMOHAMADY",1987-09-09,"ELMOHAMADY","Aston Villa FC",183,76,"ENG",30.7616438356164
"188","Egypt",4,"MF","OMAR GABER",1992-01-30,"O. GABER","Los Angeles FC",175,71,"USA",26.3698630136986
"189","Egypt",5,"MF","SAM MORSY",1991-09-10,"MORSY","Wigan Athletic FC",173,75,"ENG",26.758904109589
"190","Egypt",6,"DF","AHMED HEGAZY",1991-01-25,"A. HEGAZY","West Bromwich Albion FC",194,95,"ENG",27.3835616438356
"191","Egypt",7,"DF","AHMED FATHI",1984-11-10,"A. FATHI","Al Ahly SC",176,76,"EGY",33.5917808219178
"192","Egypt",8,"MF","TAREK HAMED",1988-10-24,"TAREK HAMED","Zamalek",169,67,"EGY",29.6383561643836
"193","Egypt",9,"FW","MARWAN MOHSEN",1989-02-26,"MARWAN","Al Ahly SC",185,81,"EGY",29.2958904109589
"194","Egypt",10,"FW","MOHAMED SALAH",1992-06-15,"M SALAH","Liverpool FC",175,71,"ENG",25.9972602739726
"195","Egypt",11,"FW","KAHRABA",1994-04-13,"M. KAHRABA","Al-Ittihad FC",182,76,"KSA",24.1698630136986
"196","Egypt",12,"DF","AYMAN ASHRAF",1991-04-09,"A. ASHRAF","Al Ahly SC",176,73,"EGY",27.1808219178082
"197","Egypt",13,"DF","MOHAMED ABDELSHAFY",1985-07-01,"ABDELSHAFY","Al Fateh FC",171,72,"KSA",32.9534246575342
"198","Egypt",14,"FW","RAMADAN SOBHY",1997-01-23,"RAMADAN","Stoke City FC",183,77,"ENG",21.3890410958904
"199","Egypt",15,"DF","MAHMOUD HAMDY",1995-06-01,"M. HAMDY","Zamalek",173,72,"EGY",23.0356164383562
"200","Egypt",16,"GK","SHERIF EKRAMY",1983-07-10,"EKRAMY","Al Ahly SC",193,93,"EGY",34.9287671232877
"201","Egypt",17,"MF","MOHAMED ELNENY",1992-07-11,"M. ELNENY","Arsenal FC",181,74,"ENG",25.9260273972603
"202","Egypt",18,"FW","SHIKABALA",1986-03-05,"SHIKABALA","Al Raed SC",183,80,"KSA",32.2767123287671
"203","Egypt",19,"MF","ABDALLA SAID",1985-07-13,"ABDALLA","Kuopion PS",176,75,"FIN",32.9205479452055
"204","Egypt",20,"DF","SAMIR SAAD",1989-04-01,"S. SAMIR","Al Ahly SC",183,82,"EGY",29.2027397260274
"205","Egypt",21,"MF","TREZEGUET",1994-10-01,"M. TREZEGUET","Kasimpasa SK",181,77,"TUR",23.7013698630137
"206","Egypt",22,"FW","AMR WARDA",1993-09-17,"WARDA","Atromitos FC",179,77,"GRE",24.7397260273973
"207","Egypt",23,"GK","MOHAMED ELSHENAWY",1988-12-18,"M. ELSHENAWY","Al Ahly SC",191,86,"EGY",29.4876712328767
"208","England",1,"GK","PICKFORD Jordan",1994-03-07,"PICKFORD","Everton FC",185,72,"ENG",24.2712328767123
"209","England",2,"DF","WALKER Kyle",1990-05-28,"WALKER","Manchester City FC",178,83,"ENG",28.0465753424658
"210","England",3,"DF","ROSE Danny",1990-07-02,"ROSE","Tottenham Hotspur FC",173,76,"ENG",27.9506849315068
"211","England",4,"MF","DIER Eric",1994-01-15,"DIER","Tottenham Hotspur FC",188,90,"ENG",24.4109589041096
"212","England",5,"DF","STONES John",1994-05-28,"STONES","Manchester City FC",188,72,"ENG",24.0465753424658
"213","England",6,"DF","MAGUIRE Harry",1993-03-05,"MAGUIRE","Leicester City FC",193,98,"ENG",25.2767123287671
"214","England",7,"MF","LINGARD Jesse",1992-12-15,"LINGARD","Manchester United FC",175,60,"ENG",25.4958904109589
"215","England",8,"MF","HENDERSON Jordan",1990-06-17,"HENDERSON","Liverpool FC",183,82,"ENG",27.9917808219178
"216","England",9,"FW","KANE Harry",1993-07-28,"KANE","Tottenham Hotspur FC",188,98,"ENG",24.8794520547945
"217","England",10,"FW","STERLING Raheem",1994-12-08,"STERLING","Manchester City FC",170,70,"ENG",23.5150684931507
"218","England",11,"FW","VARDY Jamie",1987-01-11,"VARDY","Leicester City FC",178,80,"ENG",31.4219178082192
"219","England",12,"DF","TRIPPIER Kieran",1990-09-19,"TRIPPIER","Tottenham Hotspur FC",178,72,"ENG",27.7342465753425
"220","England",13,"GK","BUTLAND Jack",1993-03-10,"BUTLAND","Stoke City FC",196,96,"ENG",25.2630136986301
"221","England",14,"FW","WELBECK Danny",1990-11-26,"WELBECK","Arsenal FC",184,78,"ENG",27.5479452054795
"222","England",15,"DF","CAHILL Gary",1985-12-19,"CAHILL","Chelsea FC",191,85,"ENG",32.4849315068493
"223","England",16,"DF","JONES Phil",1992-02-21,"JONES","Manchester United FC",182,72,"ENG",26.3095890410959
"224","England",17,"DF","DELPH Fabian",1989-11-21,"DELPH","Manchester City FC",174,78,"ENG",28.5616438356164
"225","England",18,"DF","YOUNG Ashley",1985-07-09,"YOUNG","Manchester United FC",175,78,"ENG",32.9315068493151
"226","England",19,"FW","RASHFORD Marcus",1997-10-31,"RASHFORD","Manchester United FC",180,78,"ENG",20.6191780821918
"227","England",20,"MF","ALLI Dele",1996-04-11,"DELE","Tottenham Hotspur FC",188,76,"ENG",22.1753424657534
"228","England",21,"MF","LOFTUS-CHEEK Ruben",1996-01-23,"LOFTUS-CHEEK","Chelsea FC",190,73,"ENG",22.3890410958904
"229","England",22,"DF","ALEXANDER-ARNOLD Trent",1998-10-07,"ALEXANDER-ARNOLD","Liverpool FC",175,70,"ENG",19.6849315068493
"230","England",23,"GK","POPE Nick",1992-04-19,"POPE","Burnley FC",191,76,"ENG",26.1534246575342
"231","France",1,"GK","LLORIS Hugo",1986-12-26,"LLORIS","Tottenham Hotspur FC",188,82,"ENG",31.4657534246575
"232","France",2,"DF","PAVARD Benjamin",1996-03-28,"PAVARD","VfB Stuttgart",186,76,"GER",22.213698630137
"233","France",3,"DF","KIMPEMBE Presnel",1995-08-13,"KIMPEMBE","Paris Saint-Germain FC",182,78,"FRA",22.8356164383562
"234","France",4,"DF","VARANE Raphael",1993-04-25,"VARANE","Real Madrid CF",191,79,"ESP",25.1369863013699
"235","France",5,"DF","UMTITI Samuel",1993-11-14,"UMTITI","FC Barcelona",183,84,"ESP",24.5808219178082
"236","France",6,"MF","POGBA Paul",1993-03-15,"POGBA","Manchester United FC",191,86,"ENG",25.2493150684931
"237","France",7,"FW","GRIEZMANN Antoine",1991-03-21,"GRIEZMANN","Atletico Madrid",174,72,"ESP",27.2328767123288
"238","France",8,"FW","LEMAR Thomas",1995-11-12,"LEMAR","AS Monaco",172,65,"FRA",22.586301369863
"239","France",9,"FW","GIROUD Olivier",1986-09-30,"GIROUD","Chelsea FC",193,91,"ENG",31.7041095890411
"240","France",10,"FW","MBAPPE Kylian",1998-12-20,"MBAPPE","Paris Saint-Germain FC",178,78,"FRA",19.4821917808219
"241","France",11,"FW","DEMBELE Ousmane",1997-05-15,"DEMBELE","FC Barcelona",178,70,"ESP",21.0821917808219
"242","France",12,"MF","TOLISSO Corentin",1994-08-03,"TOLISSO","FC Bayern München",180,82,"GER",23.8630136986301
"243","France",13,"MF","KANTE Ngolo",1991-03-29,"KANTE","Chelsea FC",168,70,"ENG",27.2109589041096
"244","France",14,"MF","MATUIDI Blaise",1987-04-09,"MATUIDI","Juventus FC",180,74,"ITA",31.1808219178082
"245","France",15,"MF","NZONZI Steven",1988-12-15,"NZONZI","Sevilla FC",197,87,"ESP",29.4958904109589
"246","France",16,"GK","MANDANDA Steve",1985-03-28,"MANDANDA","Olympique Marseille",187,88,"FRA",33.213698630137
"247","France",17,"DF","RAMI Adil",1985-12-27,"RAMI","Olympique Marseille",190,90,"FRA",32.4630136986301
"248","France",18,"FW","FEKIR Nabil",1993-07-18,"FEKIR","Olympique Lyon",173,76,"FRA",24.9068493150685
"249","France",19,"DF","SIDIBE Djibril",1992-07-29,"SIDIBE","AS Monaco",184,81,"FRA",25.8767123287671
"250","France",20,"FW","THAUVIN Florian",1993-01-26,"THAUVIN","Olympique Marseille",180,76,"FRA",25.3808219178082
"251","France",21,"DF","HERNANDEZ Lucas",1996-02-14,"HERNANDEZ","Atletico Madrid",183,76,"ESP",22.3287671232877
"252","France",22,"DF","MENDY Benjamin",1994-07-17,"MENDY","Manchester City FC",183,84,"ENG",23.9095890410959
"253","France",23,"GK","AREOLA Alphonse",1993-02-27,"AREOLA","Paris Saint-Germain FC",195,95,"FRA",25.2931506849315
"254","Germany",1,"GK","NEUER Manuel",1986-03-27,"NEUER","FC Bayern München",193,93,"GER",32.2164383561644
"255","Germany",2,"DF","PLATTENHARDT Marvin",1992-01-26,"PLATTENHARDT","Hertha BSC",181,76,"GER",26.3808219178082
"256","Germany",3,"DF","HECTOR Jonas",1990-05-27,"HECTOR","1. FC Köln",185,75,"GER",28.0493150684932
"257","Germany",4,"DF","GINTER Matthias",1994-01-19,"GINTER","VfL Borussia Mönchengladbach",189,85,"GER",24.4
"258","Germany",5,"DF","HUMMELS Mats",1988-12-16,"HUMMELS","FC Bayern München",192,90,"GER",29.4931506849315
"259","Germany",6,"MF","KHEDIRA Sami",1987-04-04,"KHEDIRA","Juventus FC",189,81,"ITA",31.1945205479452
"260","Germany",7,"MF","DRAXLER Julian",1993-09-20,"DRAXLER","Paris Saint-Germain FC",185,74,"FRA",24.7315068493151
"261","Germany",8,"MF","KROOS Toni",1990-01-04,"KROOS","Real Madrid CF",182,78,"ESP",28.441095890411
"262","Germany",9,"FW","WERNER Timo",1996-03-06,"WERNER","RB Leipzig",181,75,"GER",22.2739726027397
"263","Germany",10,"MF","OEZIL Mesut",1988-10-15,"ÖZIL","Arsenal FC",180,70,"ENG",29.6630136986301
"264","Germany",11,"FW","REUS Marco",1989-05-31,"REUS","Borussia Dortmund",180,67,"GER",29.0383561643836
"265","Germany",12,"GK","TRAPP Kevin",1990-07-08,"TRAPP","Paris Saint-Germain FC",189,88,"FRA",27.9342465753425
"266","Germany",13,"MF","MUELLER Thomas",1989-09-13,"MÜLLER","FC Bayern München",186,75,"GER",28.7506849315069
"267","Germany",14,"MF","GORETZKA Leon",1995-02-06,"GORETZKA","FC Schalke 04",189,76,"GER",23.3506849315068
"268","Germany",15,"DF","SUELE Niklas",1995-09-03,"SÜLE","FC Bayern München",195,89,"GER",22.7780821917808
"269","Germany",16,"DF","RUEDIGER Antonio",1993-03-03,"RÜDIGER","Chelsea FC",191,85,"ENG",25.2821917808219
"270","Germany",17,"DF","BOATENG Jerome",1988-09-03,"BOATENG","FC Bayern München",192,90,"GER",29.7780821917808
"271","Germany",18,"DF","KIMMICH Joshua",1995-02-08,"KIMMICH","FC Bayern München",176,72,"GER",23.3452054794521
"272","Germany",19,"MF","RUDY Sebastian",1990-02-28,"RUDY","FC Bayern München",179,74,"GER",28.2904109589041
"273","Germany",20,"MF","BRANDT Julian",1996-05-02,"BRANDT","Bayer 04 Leverkusen",183,82,"GER",22.1178082191781
"274","Germany",21,"MF","GUENDOGAN Ilkay",1990-10-24,"GÜNDOGAN","Manchester City FC",180,79,"ENG",27.6383561643836
"275","Germany",22,"GK","TER STEGEN Marc-Andre",1992-04-30,"TER STEGEN","FC Barcelona",187,85,"ESP",26.1232876712329
"276","Germany",23,"FW","GOMEZ Mario",1985-07-10,"GOMEZ","VfB Stuttgart",189,82,"GER",32.9287671232877
"277","Iceland",1,"GK","HALLDORSSON Hannes",1984-04-27,"HALLDORSSON","Randers FC",193,88,"DEN",34.1315068493151
"278","Iceland",2,"DF","SAEVARSSON Birkir",1984-11-11,"SÆVARSSON","Valur Reykjavik",186,75,"ISL",33.5890410958904
"279","Iceland",3,"MF","FRIDJONSSON Samuel",1996-02-22,"FRIDJÓNSSON","Valerenga IF",185,78,"NOR",22.3068493150685
"280","Iceland",4,"MF","GUDMUNDSSON Albert",1997-06-15,"A. GUDMUNDSSON","PSV Eindhoven",177,80,"NED",20.9972602739726
"281","Iceland",5,"DF","INGASON Sverrir",1993-08-05,"INGASON","FC Rostov",188,80,"RUS",24.8575342465753
"282","Iceland",6,"DF","SIGURDSSON Ragnar",1986-06-19,"R. SIGURDSSON","FC Rostov",187,86,"RUS",31.986301369863
"283","Iceland",7,"MF","GUDMUNDSSON Johann",1990-10-27,"J. GUDMUNDSSON","Burnley FC",179,77,"ENG",27.6301369863014
"284","Iceland",8,"MF","BJARNASON Birkir",1988-05-27,"B. BJARNASON","Aston Villa FC",183,77,"ENG",30.0493150684932
"285","Iceland",9,"FW","SIGURDARSON Bjorn",1991-02-26,"SIGURDARSON","FC Rostov",187,85,"RUS",27.2958904109589
"286","Iceland",10,"MF","SIGURDSSON Gylfi",1989-09-08,"G. SIGURDSSON","Everton FC",186,82,"ENG",28.7643835616438
"287","Iceland",11,"FW","FINNBOGASON Alfred",1989-02-01,"FINNBOGASON","FC Augsburg",185,79,"GER",29.3643835616438
"288","Iceland",12,"GK","SCHRAM Frederik",1995-01-19,"SCHRAM","Roskilde BK",198,92,"DEN",23.4
"289","Iceland",13,"GK","RUNARSSON Runar",1995-02-18,"RÚNARSSON","FC Nordsjaelland",186,76,"DEN",23.3178082191781
"290","Iceland",14,"DF","ARNASON Kari",1982-10-13,"ARNASON","Aberdeen FC",191,82,"SCO",35.6684931506849
"291","Iceland",15,"DF","EYJOLFSSON Holmar",1990-08-06,"EYJÓLFSSON","Levski Sofia",188,81,"BUL",27.8547945205479
"292","Iceland",16,"MF","SKULASON Olafur",1983-04-01,"Ó. SKÚLASON","Karabukspor",184,79,"TUR",35.2027397260274
"293","Iceland",17,"MF","GUNNARSSON Aron",1989-04-22,"GUNNARSSON","Cardiff City FC",181,86,"WAL",29.1452054794521
"294","Iceland",18,"DF","MAGNUSSON Hordur",1993-02-11,"MAGNÚSSON","Bristol City FC",191,85,"ENG",25.3369863013699
"295","Iceland",19,"MF","GISLASON Rurik",1988-02-25,"GISLASON","SV Sandhausen",184,78,"GER",30.2986301369863
"296","Iceland",20,"MF","HALLFREDSSON Emil",1984-06-29,"HALLFREDSSON","Udinese Calcio",186,86,"ITA",33.958904109589
"297","Iceland",21,"MF","TRAUSTASON Arnor",1993-04-30,"TRAUSTASON","Malmö FF",183,73,"SWE",25.1232876712329
"298","Iceland",22,"FW","BODVARSSON Jon",1992-05-25,"BÖDVARSSON","Reading FC",189,89,"ENG",26.0547945205479
"299","Iceland",23,"DF","SKULASON Ari",1987-05-14,"A. SKÚLASON","KSC Lokeren",170,63,"BEL",31.0849315068493
"300","Iran",1,"GK","BEIRANVAND Ali",1992-09-21,"A. BEIRANVAND","Persepolis FC",194,85,"IRN",25.7287671232877
"301","Iran",2,"MF","TORABI Mehdi",1994-09-10,"M. TORABI","Saipa Alborz FC",185,71,"IRN",23.758904109589
"302","Iran",3,"DF","HAJI SAFI Ehsan",1990-02-25,"HAJI SAFI","Olympiacos Piraeus FC",178,75,"GRE",28.2986301369863
"303","Iran",4,"DF","CHESHMI Roozbeh",1993-07-24,"R. CHESHMI","Esteghlal Tehran FC",192,80,"IRN",24.8904109589041
"304","Iran",5,"DF","MOHAMMADI Milad",1993-09-29,"M. MOHAMMADI","FC Akhmat Grozny",178,69,"RUS",24.7068493150685
"305","Iran",6,"MF","EZATOLAHI Saeid",1996-10-01,"S. EZATOLAHI","FK Amkar Perm",190,82,"RUS",21.7013698630137
"306","Iran",7,"MF","SHOJAEI Masoud",1984-06-09,"SHOJAEI M.","AEK Athens",187,79,"GRE",34.013698630137
"307","Iran",8,"DF","POURALIGANJI Morteza",1992-04-19,"M. POURALIGANJI","Al Sadd SC",187,83,"QAT",26.1534246575342
"308","Iran",9,"MF","EBRAHIMI Omid",1987-09-16,"OMID","Esteghlal Tehran FC",178,75,"IRN",30.7424657534247
"309","Iran",10,"FW","ANSARIFARD Karim",1990-04-03,"KARIM","Olympiacos Piraeus FC",187,80,"GRE",28.1972602739726
"310","Iran",11,"MF","AMIRI Vahid",1988-04-02,"V. AMIRI","Persepolis FC",179,71,"IRN",30.2
"311","Iran",12,"GK","MAZAHERI Rashid",1989-05-18,"RASHID","Zob Ahan Isfahan FC",192,84,"IRN",29.0739726027397
"312","Iran",13,"DF","KHANZADEH Mohammad Reza",1991-05-11,"M.R. KHANZADEH","Padideh FC",186,80,"IRN",27.0931506849315
"313","Iran",14,"FW","GHODDOS  Saman",1993-09-06,"GHODDOS","IFK Östersund FK",177,79,"SWE",24.7698630136986
"314","Iran",15,"DF","MONTAZERI Pejman",1983-09-06,"P. MONTAZERI","Esteghlal Tehran FC",185,77,"IRN",34.7698630136986
"315","Iran",16,"FW","GHOOCHANNEJHAD Reza",1987-09-20,"REZA","SC Heerenveen",180,79,"NED",30.7315068493151
"316","Iran",17,"FW","TAREMI Mehdi",1992-07-18,"MEHDI","Al Gharafa SC",187,80,"QAT",25.9068493150685
"317","Iran",18,"FW","JAHANBAKHSH Alireza",1993-08-11,"A. JAHANBAKHSH","AZ Alkmaar",180,77,"NED",24.841095890411
"318","Iran",19,"DF","HOSSEINI Majid",1996-06-20,"M. HOSSEINI","Esteghlal Tehran FC",183,78,"IRN",21.9835616438356
"319","Iran",20,"FW","AZMOUN Sardar",1995-01-01,"SARDAR","FC Rubin Kazan",186,80,"RUS",23.4493150684931
"320","Iran",21,"FW","DEJAGAH Ashkan",1986-07-05,"DEJAGAH","Nottingham Forest FC",181,78,"ENG",31.9424657534247
"321","Iran",22,"GK","ABEDZADEH Amir",1993-04-26,"ABEDZADEH","CS Maritimo",186,80,"POR",25.1342465753425
"322","Iran",23,"DF","REZAEIAN Ramin",1990-03-21,"RAMIN","KV Oostende",185,75,"BEL",28.2328767123288
"323","Japan",1,"GK","KAWASHIMA Eiji",1983-03-20,"KAWASHIMA","FC Metz",185,74,"FRA",35.2356164383562
"324","Japan",2,"DF","UEDA Naomichi",1994-10-24,"UEDA","Kashima Antlers",186,79,"JPN",23.6383561643836
"325","Japan",3,"DF","SHOJI Gen",1992-12-11,"SHOJI","Kashima Antlers",182,74,"JPN",25.5068493150685
"326","Japan",4,"MF","HONDA Keisuke",1986-06-13,"HONDA","CF Pachuca",182,74,"MEX",32.0027397260274
"327","Japan",5,"DF","NAGATOMO Yuto",1986-09-12,"NAGATOMO","Galatasaray SK",170,68,"TUR",31.7534246575342
"328","Japan",6,"DF","ENDO Wataru",1993-02-09,"ENDO","Urawa Reds",178,75,"JPN",25.3424657534247
"329","Japan",7,"MF","SHIBASAKI Gaku",1992-05-28,"SHIBASAKI","Getafe CF",175,64,"ESP",26.0465753424658
"330","Japan",8,"MF","HARAGUCHI Genki",1991-05-09,"HARAGUCHI","Fortuna Düsseldorf",178,68,"GER",27.0986301369863
"331","Japan",9,"FW","OKAZAKI Shinji",1986-04-16,"OKAZAKI","Leicester City FC",174,70,"ENG",32.1616438356164
"332","Japan",10,"MF","KAGAWA Shinji",1989-03-17,"KAGAWA","Borussia Dortmund",175,68,"GER",29.2438356164384
"333","Japan",11,"MF","USAMI Takashi",1992-05-06,"USAMI","Fortuna Düsseldorf",178,72,"GER",26.1068493150685
"334","Japan",12,"GK","HIGASHIGUCHI Masaaki",1986-05-12,"HIGASHIGUCHI","Gamba Osaka",184,78,"JPN",32.0904109589041
"335","Japan",13,"FW","MUTO Yoshinori",1992-07-15,"MUTO","FSV Mainz 05",179,72,"GER",25.9150684931507
"336","Japan",14,"MF","INUI Takashi",1988-06-02,"INUI","SD Eibar",169,59,"ESP",30.0328767123288
"337","Japan",15,"FW","OSAKO Yuya",1990-05-18,"OSAKO","1. FC Köln",182,71,"GER",28.0739726027397
"338","Japan",16,"MF","YAMAGUCHI Hotaru",1990-10-06,"YAMAGUCHI","Cerezo Osaka",173,72,"JPN",27.6876712328767
"339","Japan",17,"MF","HASEBE Makoto",1984-01-18,"HASEBE","Eintracht Frankfurt",180,72,"GER",34.4027397260274
"340","Japan",18,"MF","OSHIMA Ryota",1993-01-23,"OHSHIMA","Kawasaki Frontale",168,64,"JPN",25.3890410958904
"341","Japan",19,"DF","SAKAI Hiroki",1990-04-12,"H. SAKAI","Olympique Marseille",183,70,"FRA",28.172602739726
"342","Japan",20,"DF","MAKINO Tomoaki",1987-05-11,"MAKINO","Urawa Reds",182,77,"JPN",31.0931506849315
"343","Japan",21,"DF","SAKAI Gotoku",1991-03-14,"G. SAKAI","Hamburger SV",176,74,"GER",27.2520547945205
"344","Japan",22,"DF","YOSHIDA Maya",1988-08-24,"YOSHIDA","Southampton FC",189,78,"ENG",29.8054794520548
"345","Japan",23,"GK","NAKAMURA Kosuke",1995-02-27,"NAKAMURA","Kashiwa Reysol",184,72,"JPN",23.2931506849315
"346","South Korea",1,"GK","KIM Seunggyu",1990-09-30,"S G KIM","Vissel Kobe",187,80,"JPN",27.7041095890411
"347","South Korea",2,"DF","LEE Yong",1986-12-24,"Y LEE","Jeonbuk Hyundai",180,74,"KOR",31.4712328767123
"348","South Korea",3,"DF","JUNG Seunghyun",1994-04-03,"S H JUNG","Sagan Tosu FC",188,74,"JPN",24.1972602739726
"349","South Korea",4,"DF","OH Bansuk",1988-05-20,"B S OH","Jeju United",189,79,"KOR",30.0684931506849
"350","South Korea",5,"DF","YUN Youngsun",1988-10-04,"Y S YUN","Seongnam FC",185,78,"KOR",29.6931506849315
"351","South Korea",6,"DF","PARK Jooho",1987-01-16,"J H PARK","Ulsan Hyundai FC",174,71,"KOR",31.4082191780822
"352","South Korea",7,"FW","SON Heungmin",1992-07-08,"H M SON","Tottenham Hotspur FC",183,76,"ENG",25.9342465753425
"353","South Korea",8,"MF","JU Sejong",1990-10-30,"S J JU","Asan Mugunghwa FC",176,70,"KOR",27.6219178082192
"354","South Korea",9,"FW","KIM Shinwook",1988-04-14,"S W KIM","Jeonbuk Hyundai",197,97,"KOR",30.1671232876712
"355","South Korea",10,"MF","LEE Seungwoo",1998-01-06,"S W LEE","Hellas Verona FC",170,63,"ITA",20.4356164383562
"356","South Korea",11,"FW","HWANG Heechan",1996-01-26,"H C HWANG","FC Red Bull Salzburg",177,77,"AUT",22.3808219178082
"357","South Korea",12,"DF","KIM Minwoo",1990-02-25,"M W KIM","Sangju Sangmu FC",172,69,"KOR",28.2986301369863
"358","South Korea",13,"MF","KOO Jacheol",1989-02-27,"J C KOO","FC Augsburg",182,73,"GER",29.2931506849315
"359","South Korea",14,"DF","HONG Chul",1990-09-17,"C HONG","Sangju Sangmu FC",176,67,"KOR",27.7397260273973
"360","South Korea",15,"MF","JUNG Wooyoung",1989-12-14,"W Y JUNG","Vissel Kobe",186,78,"JPN",28.4986301369863
"361","South Korea",16,"MF","KI Sungyueng",1989-01-24,"S Y KI","Swansea City AFC",186,75,"WAL",29.386301369863
"362","South Korea",17,"MF","LEE Jaesung",1992-08-10,"J S LEE","Jeonbuk Hyundai",180,70,"KOR",25.8438356164384
"363","South Korea",18,"MF","MOON Seonmin",1992-06-09,"S M MOON","Incheon United FC",172,68,"KOR",26.013698630137
"364","South Korea",19,"DF","KIM Younggwon",1990-02-27,"Y G KIM","Guangzhou Evergrande FC",184,74,"CHN",28.2931506849315
"365","South Korea",20,"DF","JANG Hyunsoo",1991-09-28,"H S JANG","FC Tokyo",187,77,"JPN",26.7095890410959
